enode://8bdec970ef1fd59f7d104d80e35374acdfea6204130b39c105a06e9ef51ca101ef3fa9f4d96af3ba67897e7d3eafb0b023f555592cb64fc2071a913950f26d3e@127.0.0.1:0?discport=30301
Note: you're using cmd/bootnode, a developer tool.
We recommend using a regular node as bootstrap node for production deployments.
INFO [11-27|11:38:01.283] New local node record                    seq=1,701,081,481,280 id=12922c09e600dfc2 ip=<nil> udp=0 tcp=0
TRACE[11-27|11:38:16.285] >> NEIGHBORS/v4                          id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:16.786] << FINDNODE/v4                           id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:16.786] >> NEIGHBORS/v4                          id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:17.286] << FINDNODE/v4                           id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:17.286] >> NEIGHBORS/v4                          id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:17.787] << FINDNODE/v4                           id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:17.787] >> NEIGHBORS/v4                          id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:18.287] << FINDNODE/v4                           id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:18.287] >> NEIGHBORS/v4                          id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:18.788] << FINDNODE/v4                           id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:18.788] >> NEIGHBORS/v4                          id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:18.850] << PING/v4                               id=d09aea4a2896c678 addr=127.0.0.1:8401 err=nil
TRACE[11-27|11:38:18.851] >> PONG/v4                               id=d09aea4a2896c678 addr=127.0.0.1:8401 err=nil
TRACE[11-27|11:38:18.851] >> PING/v4                               id=d09aea4a2896c678 addr=127.0.0.1:8401 err=nil
TRACE[11-27|11:38:18.851] << PING/v4                               id=d09aea4a2896c678 addr=127.0.0.1:8401 err=nil
TRACE[11-27|11:38:18.851] >> PONG/v4                               id=d09aea4a2896c678 addr=127.0.0.1:8401 err=nil
TRACE[11-27|11:38:18.851] >> PING/v4                               id=d09aea4a2896c678 addr=127.0.0.1:8401 err=nil
TRACE[11-27|11:38:18.852] << PONG/v4                               id=d09aea4a2896c678 addr=127.0.0.1:8401 err=nil
TRACE[11-27|11:38:18.852] << PONG/v4                               id=d09aea4a2896c678 addr=127.0.0.1:8401 err=nil
TRACE[11-27|11:38:19.125] >> PING/v4                               id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:19.126] << PONG/v4                               id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:19.126] >> ENRREQUEST/v4                         id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:19.127] << ENRRESPONSE/v4                        id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
DEBUG[11-27|11:38:19.127] Revalidated node                         b=16 id=ae20e880746b6b0d checks=1
TRACE[11-27|11:38:19.289] << FINDNODE/v4                           id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:19.289] >> NEIGHBORS/v4                          id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:19.352] << FINDNODE/v4                           id=d09aea4a2896c678 addr=127.0.0.1:8401 err=nil
TRACE[11-27|11:38:19.352] >> NEIGHBORS/v4                          id=d09aea4a2896c678 addr=127.0.0.1:8401 err=nil
TRACE[11-27|11:38:19.353] << FINDNODE/v4                           id=d09aea4a2896c678 addr=127.0.0.1:8401 err=nil
TRACE[11-27|11:38:19.353] >> NEIGHBORS/v4                          id=d09aea4a2896c678 addr=127.0.0.1:8401 err=nil
TRACE[11-27|11:38:19.790] << FINDNODE/v4                           id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:19.790] >> NEIGHBORS/v4                          id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:20.143] << PING/v4                               id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:20.143] >> PONG/v4                               id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:20.143] << ENRREQUEST/v4                         id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:20.143] >> ENRRESPONSE/v4                        id=ae20e880746b6b0d addr=127.0.0.1:8400 err=nil
TRACE[11-27|11:38:20.287] >> PING/v4                               id=d09aea4a2896c678 addr=127.0.0.1:8401 err=nil
TRACE[11-27|11:38:20.288] << PONG/v4                               id=d09aea4a2896c678 addr=127.0.0.1:8401 err=nil
TRACE[11-27|11:38:20.288] >> ENRREQUEST/v4                         id=d09aea4a2896c678 addr=127.0.0.1:8401 err=nil
TRACE[11-27|11:38:20.289] << ENRRESPONSE/v4                        id=d09aea4a2896c678 addr=127.0.0.1:8401 err=nil
